order_id,order_purchase_timestamp,delivery_days,review_score,customer_state,seller_state,distance_km,item_count,seller_count,total_price_brl,total_freight_brl,total_weight_kg,total_volume_l,primary_category,purchase_weekday,purchase_hour
8489131c7dcc42a6d6d7df1be6802643,2018-03-26 23:19:00,45.516,2.0,RO,RJ,2696.356,1,1,120.0,23.34,0.15,3.0,sports_leisure,Mon,23
9463979a72f79c0324a07095d572007e,2018-03-22 10:15:19,7.151,3.0,SP,PR,321.115,1,1,57.9,18.29,1.205,21.528,housewares,Thu,10
2c559a6f1ac48c4f100f4775a1362ea1,2018-01-10 10:50:11,23.278,4.0,SP,RS,890.144,2,1,1046.38,36.82,0.6,3.072,computers_accessories,Wed,10
9c1a5eb0f1bff32a9846477115335d36,2018-05-07 11:05:20,14.251,4.0,RN,SP,2183.754,1,1,99.9,0.0,0.584,2.288,watches_gifts,Mon,11
feba3a25c875f5f95f3d57f54aaefa10,2017-04-02 10:28:58,4.149,5.0,SP,PR,322.353,1,1,159.0,22.58,8.7,60.0,sports_leisure,Sun,10
488f659efac45e9067e284ded2bf7daa,2017-05-27 21:10:18,3.496,4.0,SP,SP,77.374,1,1,59.9,9.94,0.995,14.976,bed_bath_table,Sat,21
46e4d123d255804919f2b94c04130164,2018-01-13 15:19:59,5.024,4.0,SP,SP,342.864,1,1,81.25,12.07,0.15,1.5,watches_gifts,Sat,15
139f1705692cf6f0ea124350e5ac47de,2018-06-01 18:57:37,3.957,5.0,SP,SP,157.576,1,1,48.0,8.88,0.475,11.7,bed_bath_table,Fri,18
3e0f5ef6c203acda1961682cdfe47606,2017-07-23 05:14:03,5.497,5.0,RJ,SP,407.6,1,1,77.94,16.31,0.85,4.05,baby,Sun,5
b4e9e179195a7cee910bf458c5b6e01e,2017-01-25 20:00:43,13.734,5.0,MA,SC,2750.225,1,1,72.9,26.77,0.4,14.0,sports_leisure,Wed,20
e32ebf133fb19cafd04315ff6d108047,2018-04-10 21:47:20,6.882,5.0,RS,SC,343.809,1,1,113.89,23.38,1.291,10.58,housewares,Tue,21
fefecf93dec36efbfb0155b5db427db6,2017-02-22 19:49:48,8.748,5.0,RJ,RS,1265.611,1,1,148.9,27.47,4.8,24.0,sports_leisure,Wed,19
7f73071c538cbb2b10e41a3041db481d,2018-02-26 17:11:00,10.296,5.0,PB,PR,2632.101,1,1,164.9,47.68,0.817,12.1,consoles_games,Mon,17
e582dcf977363d169153a6bd4a7957cf,2017-03-01 09:49:51,2.1,5.0,SP,SP,24.924,1,1,104.9,11.34,0.7,15.625,sports_leisure,Wed,9
4b7168ae01a376742edb415217f11712,2017-07-12 20:05:20,11.738,3.0,RS,SP,687.484,1,1,61.78,16.19,0.767,7.92,health_beauty,Wed,20
