order_id,order_purchase_timestamp,delivery_days,review_score,customer_state,seller_state,distance_km,item_count,seller_count,total_price_brl,total_freight_brl,total_weight_kg,total_volume_l,primary_category,purchase_weekday,purchase_hour
bfbd0f9bdef84302105ad712db648a6c,2016-09-15 12:16:38,54.813,1.0,SP,PR,566.04,3,1,134.97,8.49,3.0,12.288,health_beauty,Thu,12
ae8a60e4b03c5a4ba9ca0672c164b181,2016-10-03 22:44:10,30.639,5.0,GO,SP,976.186,1,1,128.9,25.67,7.811,57.96,toys,Mon,22
46046adea0e222a29259bad3d922fee8,2016-10-04 10:41:17,20.242,5.0,SC,SP,816.929,1,1,199.0,15.98,0.3,1.768,fixed_telephony,Tue,10
5b1376fe61863fe3508011db309e35fe,2016-10-04 13:16:57,13.297,5.0,PE,SP,1867.199,1,1,149.9,27.38,1.2,8.4,sports_leisure,Tue,13
35d3a51724a47ef1d0b89911e39cc4ff,2016-10-04 14:23:50,22.028,5.0,RS,MG,1000.575,1,1,39.99,22.34,1.4,5.376,furniture_decor,Tue,14
985db56d4cabd2577d0960194dd2cd5a,2016-10-04 15:35:35,23.978,5.0,MG,MS,1119.392,1,1,136.9,17.39,2.0,8.0,health_beauty,Tue,15
cb29497c3782a76b57327c055d58b0e0,2016-10-04 16:41:59,24.841,1.0,RJ,SP,333.274,2,1,129.8,33.4,2.9,40.6,toys,Tue,16
03128233e78ed8ade6738f2043f4cf8d,2016-10-04 19:01:13,26.92,4.0,RJ,MG,364.253,1,1,57.9,14.61,0.35,4.998,health_beauty,Tue,19
88130f20a472f28fcca9dd5d50358820,2016-10-04 21:35:54,14.057,5.0,RJ,SP,374.34,1,1,399.0,48.49,13.3,78.4,sports_leisure,Tue,21
1c4deb98d216d2fda120204a5fcfb57d,2016-10-04 23:26:51,26.932,4.0,PR,MG,825.834,1,1,49.9,16.78,1.0,4.374,health_beauty,Tue,23
b2f92b2f7047cd8b35580d629d7b3bfb,2016-10-05 08:04:21,43.347,1.0,PR,PR,9.035,1,1,59.9,11.31,1.0,8.0,health_beauty,Wed,8
e2eaf909eb6ba881117aa407992a5ffb,2016-10-05 11:05:52,40.165,1.0,SP,SP,113.505,1,1,86.99,28.23,10.5,69.642,office_furniture,Wed,11
3b2ca3293a7ce539ea2379d704fa37ce,2016-10-05 12:44:09,43.298,5.0,MG,MG,5.285,1,1,169.9,14.97,2.4,27.0,bed_bath_table,Wed,12
cb2b577a4ebd84bf84ff3990084d490f,2016-10-05 17:11:49,26.187,4.0,MG,SP,509.867,1,1,128.9,21.01,7.811,57.96,toys,Wed,17
5da2004d85f2828349d887c989da2adc,2016-10-05 20:20:59,51.497,,MG,SP,445.908,1,1,19.9,14.52,0.2,3.04,furniture_decor,Wed,20
62246c16a32a0866943f17d7b42db940,2016-10-06 00:06:17,25.403,1.0,RS,SP,909.954,1,1,49.99,19.36,1.5,18.816,furniture_decor,Thu,0
a241bea87dcdd0160ca94ebdba5bdbb9,2016-10-06 09:22:35,7.278,5.0,SP,RJ,357.128,1,1,279.9,17.45,0.408,4.76,perfumery,Thu,9
59fa27082bb77c5dbd8a6568f3b34380,2016-10-06 11:32:00,26.148,4.0,SP,SP,66.096,1,1,128.9,16.04,5.47,54.432,toys,Thu,11
262118ce178bb3e4590a3adcf6d62e6b,2016-10-06 14:59:56,42.058,1.0,RJ,SP,721.738,2,1,119.8,57.94,6.2,17.952,health_beauty,Thu,14
7d0eb8de17d494f4151e4470cd1b0605,2016-10-06 17:10:05,11.097,4.0,PR,PR,423.724,1,1,79.9,11.38,0.45,5.824,furniture_decor,Thu,17
d2945e686c883978378a10e49be7fb24,2016-10-06 19:38:12,11.956,5.0,SP,SP,72.713,1,1,88.0,11.23,0.5,8.0,fashion_bags_accessories,Thu,19
517e0a52c193102990befc46a5c5245a,2016-10-06 22:34:03,11.91,3.0,SP,SP,254.192,1,1,79.99,11.17,0.5,4.0,fixed_telephony,Thu,22
9315757eaf0e782619bed131508dbddb,2016-10-07 09:41:02,30.962,1.0,SP,SP,38.414,1,1,129.97,20.49,8.975,65.52,office_furniture,Fri,9
1dd1d53c1ea5df0ef093bf150807315f,2016-10-07 10:44:21,24.062,4.0,SP,PR,465.03,1,1,69.9,17.63,1.4,8.0,health_beauty,Fri,10
6ef172eee30cfbfa01516ce2eb2ee68f,2016-10-07 11:37:12,7.677,5.0,SP,SP,369.702,1,1,18.9,10.96,0.1,8.0,telephony,Fri,11
96123b9ae5a9cdfd4efe5fe402a94675,2016-10-07 16:50:52,19.72,1.0,RJ,PR,681.624,1,1,131.99,17.55,1.15,7.68,health_beauty,Fri,16
376cc9a8f827d17966ea7c4b182f4426,2016-10-07 19:16:49,7.008,5.0,PR,PR,394.884,1,1,59.9,11.31,1.3,8.0,health_beauty,Fri,19
7559c51df991c6861e6a8be5fb1e3751,2016-10-07 23:18:38,18.645,3.0,PR,SP,691.436,1,1,49.0,20.49,7.55,42.875,furniture_decor,Fri,23
e4ccaabafa125b3b39a9331b0abced9d,2016-10-08 09:50:08,17.228,5.0,SP,SP,138.286,1,1,49.99,11.17,0.3,2.0,sports_leisure,Sat,9
e9555dc20eba7e4e62210df1f438ea00,2016-10-08 11:33:25,7.074,1.0,DF,SP,859.724,2,1,98.0,45.4,15.1,85.75,furniture_decor,Sat,11
