열이름,추정 의미,설명(추정),구분,자료형,결측수,결측률(%),고유값수,값범위,예시값
order_id,주문 식별자,주문 1건을 구분하는 해시 문자열. 분석용 수치변수로 사용하지 않음,식별자,str,0,0.0,15000,-,"bfbd0f9bdef84302105ad712db648a6c, ae8a60e4b03c5a4ba9ca0672c164b181, 46046adea0e222a29259bad3d922fee8"
order_purchase_timestamp,주문 시각,고객이 주문을 넣은 시점(초 단위 타임스탬프),주문 시점 정보,str,0,0.0,15000,2016-09-15 12:16:38 ~ 2018-08-29 15:00:37,"2016-09-15 12:16:38, 2016-10-03 22:44:10, 2016-10-04 10:41:17"
delivery_days,배송 소요일수,주문 시점부터 고객 수령까지 걸린 일수(소수점=시간 단위 포함),주문 이후 생성,float64,0,0.0,10715,0.863 ~ 59.478,"54.813, 30.639, 20.242"
review_score,리뷰 평점,고객 만족도 점수(1~5). 0.5 단위 값이 있어 주문 내 복수 리뷰의 평균으로 추정,주문 이후 생성,float64,105,0.7,9,1 ~ 5,"1.0, 5.0, 4.0"
customer_state,고객 주(州),브라질 주 약어로 표기된 배송지 지역,주문 시점 정보,str,0,0.0,27,-,"SP, GO, SC"
seller_state,판매자 주(州),브라질 주 약어로 표기된 발송지 지역,주문 시점 정보,str,0,0.0,20,-,"PR, SP, MG"
distance_km,배송 거리(km),판매자 지역과 고객 지역 사이의 추정 직선거리,주문 시점 정보,float64,52,0.35,14687,0 ~ 3380.66,"566.04, 976.186, 816.929"
item_count,주문 상품 수량,해당 주문에 포함된 상품 아이템 개수,주문 시점 정보,int64,0,0.0,12,1 ~ 14,"3, 1, 2"
seller_count,판매자 수,해당 주문에 관여한 서로 다른 판매자 수,주문 시점 정보,int64,0,0.0,5,1 ~ 5,"1, 2, 3"
total_price_brl,상품 금액 합계(BRL),"주문 내 상품 가격 합계, 브라질 헤알",주문 시점 정보,float64,0,0.0,2894,0.85 ~ 4099.99,"134.97, 128.9, 199.0"
total_freight_brl,배송비 합계(BRL),"주문 내 배송비 합계, 브라질 헤알",주문 시점 정보,float64,0,0.0,3723,0 ~ 626.64,"8.49, 25.67, 15.98"
total_weight_kg,총 중량(kg),주문 상품의 무게 합계,주문 시점 정보,float64,2,0.01,1415,0.025 ~ 96.798,"3.0, 7.811, 0.3"
total_volume_l,총 부피(L),주문 상품의 부피 합계(치수 환산 추정),주문 시점 정보,float64,2,0.01,2741,0.168 ~ 681.636,"12.288, 57.96, 1.768"
primary_category,대표 상품 카테고리,주문의 주된 상품 카테고리명(영문 소문자),주문 시점 정보,str,206,1.37,69,-,"health_beauty, toys, fixed_telephony"
purchase_weekday,주문 요일,order_purchase_timestamp에서 파생된 영문 요일 약어,파생(시간),str,0,0.0,7,-,"Thu, Mon, Tue"
purchase_hour,주문 시각(시),order_purchase_timestamp에서 파생된 0~23 시,파생(시간),int64,0,0.0,24,0 ~ 23,"12, 22, 10"
