order_id,customer_state,customer_region,distance_km_filled,실제_delivery_days,예측_delivery_days,절대오차
f12388e0e8c7694fc38c8de19261054c,RJ,남동부,141.3,52.8,9.59,43.21
d8f4ac2b5cf577657a2165a7c75857ff,SP,남동부,847.7,56.12,13.44,42.68
466e5cddccc661ae332697cc83dcafb1,RJ,남동부,850.9,56.99,14.57,42.42
5da2004d85f2828349d887c989da2adc,MG,남동부,445.9,51.5,12.38,39.12
1db522d84fad144624204d532f5277f4,GO,중서부,1125.3,55.73,17.04,38.69
35546dd6349a2065ed8ac6ffbd2b7aba,RJ,남동부,1007.0,49.43,12.91,36.52
1b0816f005179796807a9b23f4c2df11,PR,남부,730.6,50.12,14.63,35.49
48aa82e857be5deaea8efb00a7847b43,SP,남동부,49.1,42.79,7.43,35.36
cca5e85092bfd9c1cb6c4d936cd86ecd,RJ,남동부,596.0,49.86,14.73,35.13
4180b8cf37c71c6a654dcf1623a5ca54,RJ,남동부,321.5,45.44,11.76,33.68
7ac8109e735f29d8982f4503586fe59f,SP,남동부,918.4,45.67,12.7,32.97
7ea04d381a2ba7d7f14be55b878830a5,SP,남동부,486.4,45.3,13.14,32.16
cb50f73cef605fc87294854be93d6636,SP,남동부,485.2,43.27,11.75,31.52
d4d140e1cbc20856440a8343432848c4,RJ,남동부,264.4,49.8,18.31,31.49
06bad3a130e91f7b26791dba22abc0f5,MG,남동부,730.9,45.02,13.87,31.15
841a1c15177c6184088d268bc0f263f4,MG,남동부,354.5,40.48,9.39,31.09
992cbe3e064cd39f9ccde60a29ffcd3c,SP,남동부,561.0,41.6,10.57,31.03
9f9b0cf9d794e40cdf1c4cf909d65ca4,PR,남부,405.0,43.47,12.98,30.49
4bcb885df76e020744aa9357b997e5ea,PA,북부,2507.0,54.38,24.01,30.37
f26d4637c4f560f72ba7feac1675c100,RJ,남동부,634.7,46.07,15.73,30.34
